Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
uu,00008442,3,"Saturday, November 12, 2011 05:15:11 UTC",39.2267,-110.4562,3.2,15.50,28,"Utah"
pr,11316001,0,"Saturday, November 12, 2011 05:06:29 UTC",18.7900,-64.2139,3.0,37.00, 4,"Virgin Islands region"
hv,60281762,1,"Saturday, November 12, 2011 04:44:22 UTC",19.8043,-155.2055,2.3,10.00,43,"Island of Hawaii, Hawaii"
ci,15074860,0,"Saturday, November 12, 2011 04:30:52 UTC",32.1910,-115.3617,2.7,13.60,16,"Baja California, Mexico"
ak,10354269,1,"Saturday, November 12, 2011 04:19:08 UTC",61.4114,-150.3138,2.2,43.20,22,"Southern Alaska"
us,c0006qq4,4,"Saturday, November 12, 2011 04:10:04 UTC",-29.3308,61.1458,5.0,13.50,29,"Southwest Indian Ridge"
nc,71679991,0,"Saturday, November 12, 2011 03:54:58 UTC",36.2475,-120.7993,1.3,6.30, 8,"Central California"
nm,111211a,A,"Saturday, November 12, 2011 03:30:34 UTC",35.9301,-89.9440,1.7,5.70,15,"Arkansas"
ci,15074844,0,"Saturday, November 12, 2011 03:14:49 UTC",33.3152,-116.2520,1.6,11.20,57,"Southern California"
ak,10354266,1,"Saturday, November 12, 2011 03:14:37 UTC",62.1271,-152.1172,2.0,106.70, 6,"Central Alaska"
nc,71679981,1,"Saturday, November 12, 2011 03:14:03 UTC",38.8350,-122.8462,2.1,1.40,30,"Northern California"
ak,10354249,1,"Saturday, November 12, 2011 02:22:16 UTC",61.0314,-151.9485,2.1,100.20,15,"Southern Alaska"
pr,11316000,0,"Saturday, November 12, 2011 02:18:31 UTC",18.6329,-65.5719,3.0,82.00,12,"Puerto Rico region"
ak,10354245,1,"Saturday, November 12, 2011 02:12:11 UTC",63.9486,-148.8101,2.0,0.00,18,"Central Alaska"
nc,71679941,1,"Saturday, November 12, 2011 02:07:56 UTC",40.3557,-122.0907,2.3,12.20,18,"Northern California"
us,c0006qnr,4,"Saturday, November 12, 2011 01:38:41 UTC",23.9594,122.2962,4.8,25.20,51,"Taiwan region"
ak,10354235,1,"Saturday, November 12, 2011 01:24:30 UTC",58.7633,-156.8015,3.2,227.40,14,"Alaska Peninsula"
us,c0006qnb,6,"Saturday, November 12, 2011 01:18:43 UTC",35.5624,-96.7205,2.9,5.00,27,"Oklahoma"
ci,15074828,0,"Saturday, November 12, 2011 00:16:53 UTC",32.9042,-116.2228,1.6,7.80,23,"Southern California"
ci,15074820,2,"Saturday, November 12, 2011 00:14:47 UTC",32.9007,-116.2325,2.4,7.50,39,"Southern California"
ci,10200530,2,"Saturday, November 12, 2011 00:13:54 UTC",32.9018,-116.2190,1.7,8.40,13,"Southern California"
ci,15074812,2,"Saturday, November 12, 2011 00:13:53 UTC",32.8892,-116.2222,1.1,5.00,23,"Southern California"
ak,10354130,1,"Saturday, November 12, 2011 00:01:57 UTC",63.2706,-151.2101,1.4,6.80, 7,"Central Alaska"
uw,11112246,0,"Friday, November 11, 2011 22:46:21 UTC",45.4269,-122.8236,2.3,29.30,31,"Portland urban area, Oregon"
nc,71679881,0,"Friday, November 11, 2011 22:11:45 UTC",40.3268,-124.3702,2.3,9.50, 6,"offshore Northern California"
ci,15074788,2,"Friday, November 11, 2011 22:01:51 UTC",35.9998,-117.7922,1.0,1.90,19,"Central California"
hv,60282876,1,"Friday, November 11, 2011 21:58:05 UTC",19.2190,-155.3540,2.3,38.90,54,"Island of Hawaii, Hawaii"
nc,71679871,0,"Friday, November 11, 2011 21:45:59 UTC",38.1628,-121.8965,1.8,17.60, 9,"Northern California"
nc,71679866,0,"Friday, November 11, 2011 21:44:18 UTC",39.5850,-120.3847,1.8,30.30,12,"Northern California"
nc,71679861,1,"Friday, November 11, 2011 21:30:34 UTC",36.0538,-120.6288,1.7,5.00,25,"Central California"
ci,15074780,2,"Friday, November 11, 2011 21:20:43 UTC",35.4998,-118.4077,2.2,5.50,52,"Central California"
ak,10354096,1,"Friday, November 11, 2011 21:14:13 UTC",63.3203,-144.9053,1.6,0.00, 8,"Central Alaska"
nc,71679841,0,"Friday, November 11, 2011 20:58:54 UTC",38.8148,-122.7850,1.0,1.80,13,"Northern California"
ci,15074772,2,"Friday, November 11, 2011 20:43:30 UTC",32.5410,-115.6575,1.9,5.60,23,"Baja California, Mexico"
nc,71679806,0,"Friday, November 11, 2011 19:52:29 UTC",35.7212,-121.1083,1.7,7.70,13,"Central California"
nn,00355111,8,"Friday, November 11, 2011 19:39:50 UTC",37.3473,-117.0942,1.3,5.00,21,"Nevada"
us,c0006qip,5,"Friday, November 11, 2011 19:19:15 UTC",35.5283,-96.6893,2.8,5.90,35,"Oklahoma"
ak,10353939,1,"Friday, November 11, 2011 19:10:36 UTC",61.5868,-149.8298,1.9,34.00,13,"Southern Alaska"
us,c0006qii,J,"Friday, November 11, 2011 19:00:33 UTC",-21.5400,169.7858,5.2,102.20,70,"southeast of the Loyalty Islands"
hv,60282856,1,"Friday, November 11, 2011 18:52:53 UTC",19.2033,-155.3685,2.1,37.80,54,"Island of Hawaii, Hawaii"
nc,71679796,0,"Friday, November 11, 2011 18:51:26 UTC",39.5828,-120.3860,1.9,30.00, 9,"Northern California"
nc,71679786,0,"Friday, November 11, 2011 18:36:45 UTC",37.3267,-122.1112,1.8,0.10, 8,"San Francisco Bay area, California"
ak,10353926,1,"Friday, November 11, 2011 18:26:10 UTC",60.7506,-150.2627,1.9,37.50,16,"Kenai Peninsula, Alaska"
nc,71679771,0,"Friday, November 11, 2011 18:22:51 UTC",38.8223,-122.8323,1.1,0.00,12,"Northern California"
us,c0006qhk,7,"Friday, November 11, 2011 18:09:42 UTC",14.2219,-90.2252,4.5,10.30,102,"Guatemala"
us,c0006qhg,7,"Friday, November 11, 2011 17:57:23 UTC",38.6510,43.8616,4.1,26.30,22,"eastern Turkey"
ak,10353916,1,"Friday, November 11, 2011 17:54:56 UTC",60.9339,-151.0286,1.7,21.70,10,"Kenai Peninsula, Alaska"
mb,27736,1,"Friday, November 11, 2011 17:51:53 UTC",46.6180,-113.5570,4.2,12.10,22,"western Montana"
nc,71679766,1,"Friday, November 11, 2011 17:47:15 UTC",37.8692,-122.2493,1.6,9.10,28,"San Francisco Bay area, California"
us,c0006qgr,4,"Friday, November 11, 2011 17:09:46 UTC",29.7306,129.8917,5.0,108.80,79,"Ryukyu Islands, Japan"
nc,71679741,1,"Friday, November 11, 2011 16:49:14 UTC",38.8162,-122.7935,1.2,3.40,30,"Northern California"
ak,10353898,2,"Friday, November 11, 2011 16:45:00 UTC",51.7432,-171.8680,3.4,25.60, 6,"Fox Islands, Aleutian Islands, Alaska"
ak,10353883,2,"Friday, November 11, 2011 16:36:54 UTC",59.3070,-152.7589,3.5,82.50,61,"Southern Alaska"
hv,60282836,1,"Friday, November 11, 2011 16:13:57 UTC",19.3995,-155.4920,2.5,10.00,62,"Island of Hawaii, Hawaii"
us,c0006qfz,5,"Friday, November 11, 2011 16:06:18 UTC",39.7323,143.3002,4.9,37.90,58,"off the east coast of Honshu, Japan"
ci,15074732,2,"Friday, November 11, 2011 15:32:21 UTC",35.2917,-118.5258,1.4,7.30,26,"Central California"
ci,15074716,2,"Friday, November 11, 2011 15:02:54 UTC",33.7153,-116.7560,1.0,16.80,53,"Southern California"
us,c0006qfd,6,"Friday, November 11, 2011 15:02:20 UTC",-17.7346,-172.9900,5.6,9.80,348,"Tonga region"
ak,10353862,1,"Friday, November 11, 2011 14:27:04 UTC",63.2516,-150.3859,2.4,111.00,38,"Central Alaska"
mb,11086396,2,"Friday, November 11, 2011 14:01:29 UTC",46.4605,-116.3121,2.6,13.40,32,"northern Idaho"
hv,60282821,1,"Friday, November 11, 2011 13:54:37 UTC",19.1958,-155.5058,2.5,7.30,53,"Island of Hawaii, Hawaii"
uu,11111335,2,"Friday, November 11, 2011 13:35:28 UTC",39.6412,-110.4058,1.7,1.50, 8,"Utah"
nc,71679651,1,"Friday, November 11, 2011 13:23:49 UTC",38.7922,-122.7580,1.6,3.10,36,"Northern California"
ci,15074700,2,"Friday, November 11, 2011 12:59:27 UTC",33.7642,-116.1288,1.1,7.70,53,"Southern California"
ci,15074708,2,"Friday, November 11, 2011 12:57:08 UTC",32.9258,-115.5412,1.5,22.20,13,"Southern California"
ci,15074692,2,"Friday, November 11, 2011 12:45:58 UTC",32.6632,-115.9685,1.3,5.30,29,"Southern California"
us,c0006qem,6,"Friday, November 11, 2011 12:44:12 UTC",39.7235,143.3100,5.0,33.60,127,"off the east coast of Honshu, Japan"
nc,71679646,0,"Friday, November 11, 2011 12:02:04 UTC",39.5765,-120.3823,1.7,30.10, 8,"Northern California"
ak,10353845,1,"Friday, November 11, 2011 11:45:25 UTC",62.8210,-149.6357,2.2,11.20,17,"Central Alaska"
ak,10353841,1,"Friday, November 11, 2011 11:41:22 UTC",60.9277,-151.1061,2.1,20.60,21,"Kenai Peninsula, Alaska"
nc,71679636,1,"Friday, November 11, 2011 11:39:31 UTC",39.5733,-120.3858,2.0,31.00,12,"Northern California"
nc,71679631,0,"Friday, November 11, 2011 11:36:28 UTC",39.5848,-120.3800,1.7,28.90, 7,"Northern California"
uu,11111135,2,"Friday, November 11, 2011 11:35:47 UTC",39.6437,-110.4045,1.5,1.50, 7,"Utah"
us,c0006qdr,5,"Friday, November 11, 2011 11:34:45 UTC",29.5619,129.8488,4.5,38.50,21,"Ryukyu Islands, Japan"
nc,71679621,0,"Friday, November 11, 2011 11:07:06 UTC",38.7552,-122.7158,1.1,2.30,13,"Northern California"
nc,71679611,0,"Friday, November 11, 2011 10:46:12 UTC",39.5777,-120.3847,2.0,29.70,10,"Northern California"
us,c0006qjt,6,"Friday, November 11, 2011 10:41:39 UTC",-55.8350,-124.4539,5.9,10.00,46,"southern East Pacific Rise"
nc,71679606,1,"Friday, November 11, 2011 10:30:30 UTC",38.7725,-122.7182,2.1,2.10,39,"Northern California"
hv,60282801,1,"Friday, November 11, 2011 10:19:41 UTC",19.2130,-155.5785,2.0,1.90,42,"Island of Hawaii, Hawaii"
us,c0006qd4,5,"Friday, November 11, 2011 10:10:23 UTC",32.3487,141.5742,4.6,41.40,47,"Izu Islands, Japan region"
us,c0006qcb,6,"Friday, November 11, 2011 10:02:46 UTC",37.5817,144.0521,4.4,10.10,16,"off the east coast of Honshu, Japan"
ci,15074668,4,"Friday, November 11, 2011 10:01:56 UTC",35.9557,-117.3493,1.3,3.60,19,"Central California"
ci,15074660,4,"Friday, November 11, 2011 10:00:02 UTC",35.9592,-117.3408,1.7,2.20,39,"Central California"
ak,10353827,1,"Friday, November 11, 2011 09:44:43 UTC",60.4704,-147.2347,1.9,27.20,11,"Southern Alaska"
ci,15074644,2,"Friday, November 11, 2011 09:35:56 UTC",32.2535,-115.3253,2.2,6.00,16,"Baja California, Mexico"
ci,15074636,2,"Friday, November 11, 2011 09:06:19 UTC",32.2173,-115.3355,3.3,10.00,29,"Baja California, Mexico"
us,c0006qbd,6,"Friday, November 11, 2011 08:52:32 UTC",4.5234,126.1309,4.6,64.00,56,"Kepulauan Talaud, Indonesia"
us,c0006qat,8,"Friday, November 11, 2011 08:08:48 UTC",-37.9970,-72.7737,5.2,33.80,148,"Araucania, Chile"
ci,15074620,2,"Friday, November 11, 2011 08:08:07 UTC",33.2497,-116.2728,1.2,13.40,75,"Southern California"
ci,15074612,2,"Friday, November 11, 2011 08:07:23 UTC",33.9585,-117.1598,1.2,17.10,54,"Greater Los Angeles area, California"
ci,15074604,2,"Friday, November 11, 2011 08:07:08 UTC",33.9572,-117.1557,1.1,16.90,58,"Greater Los Angeles area, California"
nc,71679551,0,"Friday, November 11, 2011 07:55:07 UTC",37.4725,-118.6745,1.4,7.40, 7,"Central California"
ci,15074596,2,"Friday, November 11, 2011 07:22:31 UTC",32.9128,-116.3462,1.2,11.00,53,"Southern California"
ak,10353817,2,"Friday, November 11, 2011 07:02:49 UTC",60.2180,-152.5508,1.7,94.10,11,"Southern Alaska"
hv,60282781,1,"Friday, November 11, 2011 06:30:00 UTC",19.2043,-155.4455,1.7,0.40,26,"Island of Hawaii, Hawaii"
ci,15074588,2,"Friday, November 11, 2011 06:00:53 UTC",35.2905,-118.5278,1.1,7.40,33,"Central California"
nc,71679501,0,"Friday, November 11, 2011 05:53:12 UTC",40.4325,-124.0525,1.6,18.30, 5,"Northern California"
ak,10353804,1,"Friday, November 11, 2011 05:29:21 UTC",57.0596,-156.5661,2.9,10.40, 9,"Alaska Peninsula"
ak,10353802,2,"Friday, November 11, 2011 05:29:15 UTC",63.9383,-148.8056,1.7,0.00, 8,"Central Alaska"
nn,00354980,8,"Friday, November 11, 2011 05:25:11 UTC",38.4023,-118.7100,1.0,8.00, 7,"Nevada"
nc,71679491,1,"Friday, November 11, 2011 05:03:21 UTC",39.5728,-120.3825,2.3,29.60,15,"Northern California"
uu,11110500,2,"Friday, November 11, 2011 05:00:07 UTC",39.4368,-111.2302,1.3,2.30, 8,"Utah"
ak,10353791,1,"Friday, November 11, 2011 04:21:12 UTC",64.5924,-149.3850,1.8,21.40,11,"Central Alaska"
ak,10353790,1,"Friday, November 11, 2011 04:12:50 UTC",63.5213,-147.4459,1.6,11.30, 8,"Central Alaska"
ci,15074572,2,"Friday, November 11, 2011 03:46:55 UTC",34.2770,-118.6478,1.7,0.60,38,"Greater Los Angeles area, California"
nc,71679476,0,"Friday, November 11, 2011 03:34:51 UTC",38.7667,-122.7103,1.3,2.00,14,"Northern California"
nc,71679451,0,"Friday, November 11, 2011 02:41:36 UTC",39.5743,-120.3813,1.6,29.70,11,"Northern California"
nc,71679446,0,"Friday, November 11, 2011 02:29:42 UTC",40.4245,-122.2173,1.7,16.60, 5,"Northern California"
ci,15074548,2,"Friday, November 11, 2011 01:58:00 UTC",33.9963,-118.4677,2.4,13.10,90,"Greater Los Angeles area, California"
ci,15074540,2,"Friday, November 11, 2011 01:56:05 UTC",32.8035,-116.1430,1.3,5.60,47,"Southern California"
uu,11110134,2,"Friday, November 11, 2011 01:34:59 UTC",39.4192,-111.2250,1.2,7.50, 7,"Utah"
nn,00354966,8,"Friday, November 11, 2011 01:06:34 UTC",38.4123,-118.6982,1.3,7.00, 7,"Nevada"
nn,00354961,8,"Friday, November 11, 2011 00:58:02 UTC",38.4187,-118.7355,2.2,6.40,35,"Nevada"
nc,71679401,0,"Friday, November 11, 2011 00:37:11 UTC",38.7617,-122.7223,1.4,1.90,20,"Northern California"
nn,00354954,8,"Friday, November 11, 2011 00:30:34 UTC",39.6185,-119.4164,1.4,11.70,17,"Nevada"
nc,71679391,1,"Friday, November 11, 2011 00:07:43 UTC",38.8238,-122.8103,1.1,3.30,22,"Northern California"
ak,10353629,2,"Thursday, November 10, 2011 23:59:41 UTC",65.0070,-147.3297,1.0,0.00, 6,"northern Alaska"
uu,11102356,2,"Thursday, November 10, 2011 23:56:30 UTC",39.4223,-111.2320,1.6,7.20, 7,"Utah"
