"ID","PMNNO","ACCNO","GENERIC NAME","FL"
1979,"P040633",231482,"Poly(oxyethylene)alkenyl ether (PROVISIONAL)","P; XU"
1980,"P040634",239679,"Reaction product of isophorone diisocyanate, aliphatic diamine, .alpha.-hydro-.omega.-hydroxypoly (oxy-1,4-butanediyl) and aliphatic hydroxy functional polyols (PROVISIONAL)","P; XU"
1981,"P040636",250465,"Cuprate, [[[[[[[(sulfonaphthalenyl)]azo]-(substitutedphenyl)]azo]-(substitutedsulfonaphthalenyl)]azo]-substitutedphenyl-substituted heteromonocycle], sodium salts (PROVISIONAL)","P"
1982,"P040640",278616,"Diisocyanate terminated polycarbodiimide","E; P"
1983,"P040643",235246,"Polyurethane, based on 9-octadecenoic acid (Z)-, alkyl ester, substituted alkyldiol, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane,2-oxepanone, 1,3,5-tris(6-isocyanatohexyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione (PROVISIONAL)","P; XU"
1984,"P040644",267380,"Polyurethane acrylic ester (PROVISIONAL)","P; XU"
1985,"P040645",266069,"Amine functional epoxy resin salted with organic acid (PROVISIONAL)","P; XU"
1986,"P040648",240972,"Hydroxy functional organic acid compds. with aromatic epoxy polymer, reaction products with primary and secondary amines (PROVISIONAL)","P; XU"
1987,"P040653",270645,"Styrene-butadiene copolymer latex (PROVISIONAL)","P; XU"
1988,"P040659",258403,"N-Sulfoalkyl-aminocarbonylalkenyl, polymer modified with N,N-dialkyl-aminocarbonylalkenyl, calcium salt (PROVISIONAL)","P; XU"
1989,"P040660",261735,"N-Sulfoalkyl-aminocarbonylalkenyl, polymer with alkenyloxyalkylol modified with poly(alkyloxyalkylenediyl) and poly(oxyalkylenediyl) and aminocarbonylalkenyl, sodium salt (PROVISIONAL)","P; XU"
1990,"P040661",240143,"N-Sulfoalkyl-aminocarbonylalkenyl, polymer with alkenyloxyalkylol modified with poly(alkyloxyalkylenediyl) and poly(oxyalkylenediyl) and aminocarbonylalkenyl, sodium salt (PROVISIONAL)","P; XU"
1991,"P040662",249480,"N-Sulfoalkyl-aminocarbonylalkenyl, polymer with alkenyloxyalkylol modified with poly(oxyalkylenediyl) and aminocarbonylalkenyl, sodium salt (PROVISIONAL)","P; XU"
1992,"P040663",232690,"N-Sulfoalkyl-aminocarbonylalkenyl, polymer with alkenyloxyalkylol modified with poly(oxyalkylenediyl) and aminocarbonylalkenyl, sodium salt","P; XU"
1993,"P040665",256496,"Mono-Me ether blocked methylenediphenyl diisocyanate polyurethane polymer with polyoxypropylenediamine (PROVISIONAL)","P; XU"
1994,"P040666",277544,"Mono-Me ether blocked methylenediphenyl diisocyanate polyurethane polymer (PROVISIONAL)","P; XU"
1995,"P040668",242150,"Reactant polymer with the acrylate copolymer of (an isocyanate species and three species of acrylate polymer), and the polyurethane acrylate (PROVISIONAL)","P; XU"
1996,"P040669",245273,"Copolymer of mixed alkyl methacrylates and a substituted alkyl methacrylate (PROVISIONAL)","P; XU"
1997,"P040672",259097,"Isocyanate functional polyester urethane polymer (PROVISIONAL)","P; XU"
1998,"P040673",258834,"Alkanedicarboxylic acid, polymer with lauryllactam and poly(oxyalkylene)diamine (PROVISIONAL)","P; XU"
1999,"P040675",238665,"N,N,N-Trialkyl-alkylaminium, N-aminocarbonylalkenyl, chloride, polymer with N-sulfoalkylaminocarbonylalkenyl, sodium salt and aminocarbonylalkenyl(PROVISIONAL)","P; XU"
2000,"P040676",273097,"N,N,N-Trialkyl-alkylaminium, N-aminocarbonylalkenyl, chloride, polymer with N-sulfoalkylaminocarbonylalkenyl, sodium salt and aminocarbonylalkenyl(PROVISIONAL)","P; XU"
2001,"P040681",236512,"Acrylic polymer with hydroxy and diamine groups (PROVISIONAL)","P; XU"
2002,"P040690",247133,"Methyl amino ethyl ether (PROVISIONAL)","P"
2003,"P040691",265000,"Carboxylic acid functional polyurethane polymer, amino-functional acrylate polymer salt (PROVISONAL)","P; XU"
2004,"P040692",250476,"Trifunctional acrylic ester (PROVISIONAL)","E; P"
2005,"P040693",275071,"Urethane acrylate oligomer (PROVISIONAL)","P; XU"
2006,"P040694",271488,"Substituted aromatic ketone (PROVISIONAL)","P"
2007,"P040702",250783,"Modified silicone polymer (PROVISIONAL)","P; XU"
2008,"P040703",270156,"Spiro[isobenzofuran-1(3H),9'-[9H]polyheterocycle]-3-one, 3'-[hexyl(2-methylphenyl)amino]-6'-[(2-methylphenyl)amino]- (PROVISIONAL)","P"
2009,"P040704",238461,"Polymer of carboxylic acids, glycols, and epoxy resin (PROVISIONAL)","P; XU"
2010,"P040705",236465,"Polymer of carboxylic acids, glycols, and epoxy resin (PROVISIONAL)","P; XU"
2011,"P040707",247155,"Organosilane ester (PROVISIONAL)","P"
2012,"P040708",261724,"Telechelic polyacrylates (PROVISIONAL)","P; XU"
2013,"P040710",251106,"Alkyl methacrylate copolymer (PROVISIONAL)","P; XU"
2014,"P040712",231299,"Azole polymer (PROVISIONAL)","P; XU"
2015,"P040715",257477,"Acrylic copolymer (PROVISIONAL)","P; XU"
2016,"P040721",271955,"Polysiloxane, aminoalkyl terminated polymers with urea functionality alkylcyclohexane (PROVISIONAL)","P; XU"
2017,"P040722",265782,"2-Propenoic acid, telomer with ethenylbenzene and phosphate salt (PROVISIONAL)","P; XU"
2018,"P040723",250501,"2-Propenoic acid, telomer with ethenylbenzene and phosphate salt, compd. with 2,2',2''-nitrilotris[ethanol] (PROVISIONAL)","P; XU"
2019,"P040742",248045,"Caprylic/capric glycerides, mono and di (PROVISIONAL)","P"
2020,"P040743",265340,"Substituted phosphonic acid compounded with substituted urea (PROVISIONAL)","P"
2021,"P040744",275515,"Acrylate copolymer (PROVISIONAL)","P; XU"
2022,"P040745",268101,"Organosilane ester (PROVISIONAL)","P"
2023,"P040746",258378,"Amino phenolic reaction product with polyvinylphenol (PROVISIONAL)","P; XU"
2024,"P040747",254343,"Propylene glycol diethylhexanoate (PROVISIONAL)","P"
2025,"P040749",271499,"Alkenoic acid, polymer with poly(oxyalkylene) alkenyl ether, sodiumsalt (PROVISIONAL)","P; XU"
2026,"P040750",269262,"Alkenoic acid, polymer with alkenoic ester and poly(oxyalkylene) alkenyl ether, sodium salt (PROVISIONAL)","P; XU"
2027,"P040756",268612,"Chlorinated quinolinesulfonic acid derivative (PROVISIONAL)","P"
2028,"P040758",259188,"Blocked polymeric isocyanate","P; S"
2029,"P040759",271433,"Organic ester, polymer with 1,3-benzenedimethanamine, (chloromethyl)oxirane and 4,4'-(1-methylethylidene)bis[phenol], reaction products with aromatic isocyanate and [(methylphenoxy)methyl]oxirane (PROVISIONAL)","P; XU"
2030,"P040760",275195,"Acrylic polymer (PROVISIONAL)","P; XU"
2031,"P040763",273586,"Polycarboxylate polymer with alkenyloxyalkylol modified poly(oxyalkylenediyl), calcium sodium salt (PROVISIONAL)","P; XU"
2032,"P040764",239873,"Polycarboxylate polymer with alkenyloxyalkylol modified poly(oxyalkylenediyl), sodium salt (PROVISIONAL)","P; XU"
2033,"P040765",268496,"Polyether diol, copolymer with toluene diisocyanate, methacrylic acid ester-blocked (PROVISIONAL)","P; XU"
2034,"P040766",269068,"Polymerized vegetable and fish oil with an olefin (PROVISIONAL)","P; XU"
2035,"P040767",270189,"Substituted ammonium formate (PROVISIONAL)","P"
2036,"P040776",248465,"Heteromonocyclo-.beta.-(2,4-dichlorophenyl)-1-propanol","P; S"
2037,"P040778",210572,"Polyester polyol (PROVISIONAL)","P; XU"
2038,"P040781",250545,"Acrylic polymer with hydroxyethyl phosphate, oxepanone ester, peroxoate-initiated (PROVISIONAL)","P; XU"
2039,"P040784",258016,"4,4'-MDI-based polyurethane polymer (PROVISIONAL)","P; XU"
2040,"P040785",252325,"Isocyanate functional polyester polyether urethane polymer (PROVISIONAL)","P; XU"
2041,"P040792",234878,"Halo substituted hydroxy nitrophenyl amide","P; S"
2042,"P040795",261644,"Isocyanate terminated urethane polymer (PROVISIONAL)","P; XU"
2043,"P040800",265282,"Modified styrene polymer (PROVISIONAL)","P; XU"
2044,"P040801",230912,"Aluminum alkoxide complex (PROVISIONAL)","P"
2045,"P040802",275822,"Isocyanate terminated urethane polymer (PROVISIONAL)","P; XU"
2046,"P040803",254365,"Aromatic and aliphatic polyamide (PROVISIONAL)","P; XU"
2047,"P040805",231222,"Homopolymer of amino-substituted methacrylic acid (PROVISIONAL)","P; XU"
2048,"P040806",232236,"Phosphonic acid, alkyl-, alkyl ester (PROVISIONAL)","P"
2049,"P040808",269386,"Aromatic polyurethane (PROVISIONAL)","P; XU"
2050,"P040815",267937,"Styrene acrylic copolymer (PROVISIONAL)","P; XU"
2051,"P040818",256430,"Urethane acrylate (PROVISIONAL)","P; XU"
2052,"P040819",246323,"Oil / phenolic modified resin (PROVISIONAL)","P; XU"
2053,"P040819",223177,"Oil/phenolic modified resin (PROVISIONAL)","P; XU"
2054,"P040820",263491,"Partly esterified and amidated poly(methacrylic acid) in water (PROVISIONAL)","P; XU"
2055,"P040827",258254,"Diimidazo(substituted)triphenodioxazine-(substituted)dione, (substituted)dichloro, (substituted)diethyl, (substituted)tetrahydro (PROVISIONAL)","P"
2056,"P040831",273633,"Aliphatic soluble acrylic polymer on the basis of isobutyl methacrylate (PROVISIONAL)","P; XU"
2057,"P040833",271240,"Mixed long oil alkyd resin (PROVISIONAL)","P; XU"
2058,"P040834",271706,"HDI biuret, hydroxyethyl methacrylate prepolymer","E; P"
2059,"P040836",265533,"Substituted naphthalenesulfonic acid substituted azo phenyl amino triazin amino substituted phenyl compound (PROVISIONAL)","P"
2060,"P040838",277395,"Copolymer of acrylic acid and styrene (PROVISIONAL)","P; XU"
2061,"P040839",261213,"Copolymer of acrylic acid and maleic acid (PROVISIONAL)","P; XU"
2062,"P040840",260390,"Copolymer of maleic acid and styrene (PROVISIONAL)","P; XU"
2063,"P040841",274125,"Copolymer of maleic acid and styrene (PROVISIONAL)","P; XU"
2064,"P040842",269115,"Copolymer of maleic acid and styrene (PROVISIONAL)","P; XU"
2065,"P040843",254127,"Copolymer of acrylic acid and styrene (PROVISIONAL)","P; XU"
2066,"P040844",241180,"Polyalkylene phthalocyanine (PROVISIONAL)","P; XU"
2067,"P040845",253215,"Alkenoic acid, polymer with alkyl methacrylate, alkenylbenzene, hydroxyalkyl methacrylate, poly(e-caprolactone) ester with hydroxy ester acrylate,peroxide-initiated (PROVISIONAL)","P; XU"
2068,"P040846",264110,"Polymer of vinyl heterocycles (PROVISIONAL)","P; XU"
2069,"P040857",237286,"Alkaryl sulfonic acid (PROVISIONAL)","P"
2070,"P040858",246527,"Alkaryl sulfonic acid (PROVISIONAL)","P"
2071,"P040862",261746,"Benzene alkylate (PROVISIONAL)","P"
2072,"P040863",253668,"Benzene alkylate (PROVISIONAL)","P"
2073,"P040869",231653,"Alkaryl sulfonic acid, metal salts (PROVISIONAL)","P"
2074,"P040870",276347,"Alkaryl sulfonic acid, metal salts (PROVISIONAL)","P"
2075,"P040871",247553,"Fatty acids, vegetable oil, polymers with aromatic carboxylic acid,alkanediol, alkanetriol, vegetable oil, tetra hydroxy alkane and carboxylic acid anhydride (PROVISIONAL)","P; XU"
2076,"P040873",252938,"Acrylic polymer on the basis of isobutyl methacrylate (PROVISIONAL)","P; XU"
2077,"P040874",275775,"Acrylic polymer on the basis of methacrylates (PROVISIONAL)","P; XU"
2078,"P040877",268623,"Substituted PPVs (poly-p-phenylen-vinylens) (PROVISIONAL)","P; XU"
2079,"P040879",242003,"Petroleum distillate (PROVISIONAL)","P"
2080,"P040880",272936,"Carbomonocyclic carboxylic salt (PROVISIONAL)","P"
2081,"P040881",259520,"Quaternary amino modified silicone-polyether copolymer (PROVISIONAL)","P; XU"
2082,"P040882",267200,"Quaternary amino modified silicone-polyether copolymer (PROVISIONAL)","P; XU"
2083,"P040883",263877,"Quaternary amino modified silicone-polyether copolymer (PROVISIONAL)","P; XU"
2084,"P040884",279595,"Urethane acrylate (PROVISIONAL)","P; XU"
2085,"P040885",233886,"Polyester polyol (PROVISIONAL)","P; XU"
2086,"P040888",249822,"Isocyanate terminated polyurethane resin (PROVISIONAL)","P; XU"
2087,"P040891",239408,"Isocyanate terminated polyurethane resin (PROVISIONAL)","P; XU"
2088,"P040895",255120,"Fatty acids, C16-18 and C18-unsatd., branched and linear, polymers with C18-unsatd. fatty acids dimers, and an amine (PROVISIONAL)","P; XU"
2089,"P040898",249162,"Alkyldiene acyclic carboxylic acid, ethyl ester (PROVISIONAL)","P"
2090,"P040900",271284,"MDI based polyurethane polymer (PROVISIONAL)","P; XU"
2091,"P040902",251253,"Fatty acids, C16-C18 and C18-unsatd., branched and linear, polymerswith C18-unsatd. fatty acids dimers, triethylenetetramine and an amine (PROVISIONAL)","P; XU"
2092,"P040905",245251,"Polymer of vinyl heterocycle (PROVISIONAL)","P; XU"
2093,"P040906",251082,"Silicone anhydride (PROVISIONAL)","P"
2094,"P040908",244521,"Polyolefin ester (PROVISIONAL)","P; XU"
2095,"P040911",252143,"Aryl-substituted diether propane (PROVISIONAL)","P"
2096,"P040913",240687,"Silsesquioxanes (PROVISIONAL)","P; XU"
2097,"P040914",274921,"Amino polyether prepolymer ester (PROVISIONAL)","P; XU"
2098,"P040915",251026,"Styrene-methacrylate copolymer (PROVISIONAL)","P; XU"
2099,"P040916",235860,"Styrene-methacrylate copolymer (PROVISIONAL)","P; XU"
2100,"P040917",247406,"Styrene-methacrylate copolymer (PROVISIONAL)","P; XU"
2101,"P040920",259042,"Alkaryl sulfonic acid, metal salts (PROVISIONAL)","P"
2102,"P040921",253259,"Alkaryl sulfonic acid, metal salts (PROVISIONAL)","P"
2103,"P040922",264585,"Alkaryl sulfonic acid, metal salts (PROVISIONAL)","P"
2104,"P040925",236830,"Alkaryl sulfonic acid (PROVISIONAL)","P"
2105,"P040926",277260,"Alkaryl sulfonic acid (PROVISIONAL)","P"
2106,"P040927",260618,"Alkaryl sulfonic acid (PROVISIONAL)","P"
2107,"P040930",268952,"Toluene alkylate (PROVISIONAL)","P"
2108,"P040931",241453,"Toluene alkylate (PROVISIONAL)","P"
2109,"P040932",268703,"Toluene alkylate (PROVISIONAL)","P"
2110,"P040937",243608,"Silsesquioxanes (PROVISIONAL)","P; XU"
2111,"P040939",230978,"Polysiloxane, aminoalkyl terminated polymers with urea functionality alkylbenzene (PROVISIONAL)","P; XU"
2112,"P040946",240994,"Multifunctional acrylate oligomer resin (PROVISIONAL)","P"
2113,"P040949",269864,"Organic acids aluminum complexes (PROVISIONAL)","P"
2114,"P040950",261122,"Reaction product of substituted naphthalenesulfonic acid azo substituted phenyl amino substituted triazine compound and substituted phenyl azo substituted naphthalenesulfonic acid (PROVISIONAL)","P"
2115,"P040952",267017,"Polydimethylsiloxane with aminoalkyl and polyether groups (PROVISIONAL)","P; XU"
2116,"P040955",233320,"Polydimethylsiloxane with aminoalkyl and polyether groups (PROVISIONAL)","P; XU"
2117,"P040959",241135,"Epoxide-amine adduct (PROVISIONAL)","P; XU"
2118,"P050001",275913,"Formaldehyde, polymer with dialkylphenylamine, dialkylphenol and trimethylhexanediamine (PROVISIONAL)","P; S; XU"
2119,"P050002",267608,"Methyl cyano amino ethyl ether (PROVISIONAL)","P"
2120,"P050010",245217,"Trimethyl bis alkylamine bis (aminoethyl) ether (PROVISIONAL)","P"
2121,"P050014",274669,"Polymer of maleic anhydride and substituted alkenes, potassium salt, persulfate-initiated (PROVISIONAL)","P; XU"
2122,"P050015",254741,"Modified acrylic resin (PROVISIONAL)","P; XU"
2123,"P050016",258743,"Modified acrylic resin (PROVISIONAL)","P; XU"
2124,"P050017",244372,"Modified acrylic resin (PROVISIONAL)","P; XU"
2125,"P050019",258425,"Norrish Type 1 acetophenone acetoacetic ester (PROVISIONAL)","P"
2126,"P050026",248681,"Polyester isocyanate polymer (PROVISIONAL)","P; XU"
2127,"P050028",236045,"Substituted pyrimidinetrione (PROVISIONAL)","P"
2128,"P050033",248807,"Substituted benzene (PROVISIONAL)","P"
2129,"P050035",234210,"Substituted aryl acetonitrile","P; S"
2130,"P050039",240256,"Diglycidyl bisphenol A trimellitic acid adduct (PROVISIONAL)","P; XU"
2131,"P050040",262078,"Modified starch-acrylate polymer (PROVISIONAL)","P; XU"
2132,"P050044",259053,"Urethane modified polycarboxylic resin (PROVISIONAL)","P; XU"
2133,"P050045",273257,"Hydroxy functional polyacrylate resin (PROVISIONAL)","P; XU"
2134,"P050047",244383,"Stabilized aluminum alcoholate (PROVISIONAL)","P; XU"
2135,"P050048",260889,"Phthalocyanine compound (PROVISIONAL)","P"
2136,"P050049",272141,"Diglycidyl bisphenol A adduct (PROVISIONAL)","P; XU"
2137,"P050051",247633,"Urethane polymer [organic isocyanate, polyester polyol, oil or fat](PROVISIONAL)","P; XU"
2138,"P050053",253248,"Formic acid, compd. with (chloromethyl)oxirane polymer with alkyldiamine, 4,4'-(1-methylethylidene)bis[phenol] and tetradecyloxirane, acetate (salt) (PROVISIONAL)","P; XU"
2139,"P050054",236432,"Neodecanoic acid, 1,6-hexanediylbis[imino(2-hydroxy-3,1-propanediyl)] ester, polymer with (chloromethyl)oxirane, alkyldiamine, 4,4'-(methylethylidene)bis[phenol] and 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane], reaction products with diethanolamine, acetates (salts) formates (salts) (PROVISIONAL)","P; XU"
2140,"P050058",273495,"Ether amine phosphonate salt","P; S"
2141,"P050062",262965,"Ether amine phosphonate salt","P; S"
2142,"P050066",272378,"Polyester polyurethane (PROVISIONAL)","P; XU"
2143,"P050067",256736,"Fatty acid dimers, polymer with alkoxylated phenol, hydroxy ester acrylate, cyclohexyl isocyanate and cyclic carboxylic acid (PROVISIONAL)","P; XU"
2144,"P050069",267368,"Alkyl modified polysiloxane (PROVISIONAL)","P; XU"
2145,"P050070",263037,"Alkyl modified polysiloxane (PROVISIONAL)","P; XU"
2146,"P050071",277873,"Telechelic polyacrylates (PROVISIONAL)","P; XU"
2147,"P050072",251117,"Polymer of acrylate and methacrylate esters (PROVISIONAL)","P; XU"
2148,"P050075",245831,"Polymer of perfluoroalkylethylmethacrylate, alkylacrylate, chloroethene, and urethane methacrylate","E; P"
2149,"P050079",271808,"Potassium salt of substituted arylazo butanamide (PROVISIONAL)","P"
2150,"P050103",239340,"Halo phenyl amino substituted cyclohexene salt (PROVISIONAL)","P"
2151,"P050104",238336,"Polyurethane (PROVISIONAL)","P; XU"
2152,"P050107",257171,"Polymer of perfluoroalkylethylacrylate, alkylaminomethacrylate, hydroxyalkylmethacrylate, organic acid salt","E; P"
2153,"P050111",238905,"Toluylene-diisocyanate, reaction product with benzenedimethanamine and methoxypolyethylene glycol (PROVISIONAL)","P; XU"
2154,"P050113",236976,"Polyethylene-polypropylene glycol, reaction products with octadecylisocyanate (PROVISIONAL)","P; XU"
2155,"P050116",251866,"Reaction product of alkylcarboxylic acid, substituted alkenyl aminewith aromatic anhydride acetate salts (PROVISIONAL)","P"
2156,"P050121",273031,"Vinyl acrylic copolymer (PROVISIONAL)","P; XU"
2157,"P050122",269295,"Alkylpolyoxyalkylenesulfosuccinimate (PROVISIONAL)","P; XU"
2158,"P050123",261519,"Alkylpolyoxyalkyleneamide (PROVISIONAL)","P; XU"
2159,"P050127",230547,"Polymer of alkanepolyol, fatty acid derivative and disubstituted benzenes (PROVISIONAL)","P; XU"
2160,"P050132",253986,"Waterborne polyurethane (PROVISIONAL)","P; XU"
2161,"P050138",272210,"Multifunctional acrylate oligomer resin (PROVISIONAL)","P; XU"
2162,"P050142",262352,"Alkyl acrylate, polymer with alkyl acrylate, alkylacrylamide, and alkyl acrylate (PROVISIONAL)","P; XU"
2163,"P050143",236498,"Polymer of halogenated alkenes (PROVISIONAL)","P; XU"
2164,"P050144",259780,"Modified phthalic acid polymer with alkylene glycol","E; P"
2165,"P050157",253044,"2-Alkenedioic acid, polymer with sodium 2-alkene-1-sulfonate, inorganic nitrogen compound salt (PROVISIONAL)","P; XU"
2166,"P050160",250410,"Polyethylene glycol ester of fatty acids (PROVISIONAL)","P; XU"
2167,"P050161",233853,"Polyethylene glycol ester of fatty acids (PROVISIONAL)","P; XU"
2168,"P050168",267493,"Polyester amidoamine (PROVISIONAL)","P"
2169,"P050169",273804,"Maleic anhydride and acrylics modified polyolefin (PROVISIONAL)","P; XU"
2170,"P050170",277759,"Copolymer of methacrylic acid, acrylic ester, vinyl ester, and hydrophobically modified vinyl oligomer (PROVISIONAL)","P; XU"
2171,"P050171",241373,"Copolymer of methacrylic acid, acrylic ester, vinyl ester, and hydrophobically modified vinyl oligomer, ammonium salt (PROVISIONAL)","P; XU"
2172,"P050172",241248,"Copolymer of methacrylic acid, acrylic ester, vinyl ester, and hydrophobically modified vinyl oligomer, sodium salt (PROVISIONAL)","P; XU"
2173,"P050173",267051,"Copolymer of methacrylic acid, methacrylic ester, acrylic ester, vinyl ester, and hydrophobically modified vinyl oligomer (PROVISIONAL)","P; XU"
2174,"P050174",266456,"Copolymer of methacrylic acid, methacrylic ester, acrylic ester, vinyl ester, and hydrophobically modified vinyl oligomer, ammonium salt (PROVISIONAL)","P; XU"
2175,"P050175",273597,"Copolymer of methacrylic acid, methacrylic ester, acrylic ester, vinyl ester, and hydrophobically modified vinyl oligomer, sodium salt (PROVISIONAL)","P; XU"
2176,"P050176",245977,"2-Propenoic acid, 2-methyl-, oxiranylalkyl ester, polymer with alkyl 2-propenoate, ethenylbenzene, and trialkylcycloalkyl 2-methyl-2-propenoate, dialkyl peroxide and trialkylhexaneperoxoate-initiated (PROVISIONAL)","P; XU"
2177,"P050177",239975,"2-Propenoic, 2-methyl-, 2-hydroxyethyl ester, reaction products with hexakis (alkoxyalkyl) melamine (PROVISIONAL)","P; S"
2178,"P050184",239715,"Heteropolycyclic, 9-(2-carboxyphenyl)-3,6-bis[(2-methylphenyl)amino]-, chloride (PROVISIONAL)","P"
2179,"P050186",269160,"Fatty acids, tall-oil, reaction products with 4-methyl-2-pentanone and aliphatic polyamine (PROVISIONAL)","P; S"
2180,"P050186",241919,"Fatty acids, tall-oil, reaction products with (butoxymethyl) oxirane formaldehyde-phenol polymer glycidyl ether, morpholinepropanamine, propylene glycol diamine and aliphatic polyamine, N-(1,3-dimethylbutylidene) derivs.","P; S"
2181,"P050186",269875,"Formaldehyde, polymer with aliphatic diamine and phenol, reaction products with 4-methyl-2-pentanone (PROVISIONAL)","P; S"
2182,"P050188",256009,"Poly(oxy-1,2-ethanediyl), .alpha.-[[[(ethenyloxy)alkyl]alkyl]methyl]-.omega.-hydroxy-, polymer with halogenated ethene, alkyl vinylethers and 4-[(ethenyloxy) alkyl]alkanemethanol (PROVISIONAL)","P; XU"
2183,"P050193",271988,"Polyester acrylate oligomer (PROVISIONAL)","P; XU"
2184,"P050194",276881,"Phenyl azo sulfonylphenyl copper amino sodium salt (PROVISIONAL)","P"
2185,"P050194",253102,"Phenyl azo sulfonylphenyl copper sodium salt (PROVISIONAL)","P"
2186,"P050202",250409,"Sulfonated azo-naphthalene derivative, sodium salt (PROVISIONAL)","P"
2187,"P050203",249548,"Sulfonated azo-naphthalene derivative, mixed salt (PROVISIONAL)","P"
2188,"P050210",273451,"Soybean oil, modified products (PROVISIONAL)","P"
2189,"P050211",249275,"Soybean oil, modified, hydrogenated (PROVISIONAL)","P"
2190,"P050212",258265,"Maleic acid, sodium allyl sulphonate copolymer sodium salt (PROVISIONAL)","P; XU"
2191,"P050223",267142,"Polycarboxylate polymer with alkenyloxyalkylol modified with poly(oxyalkylenediyl), potassium salt (PROVISIONAL)","P; XU"
2192,"P050224",259804,"Polycarboxylate polymer with alkenyloxyalkylol modified with poly(oxyalkylenediyl), calcium potassium salt (PROVISIONAL)","P; XU"
2193,"P050226",244623,"Polyalkoxylated aromatic (PROVISIONAL)","P; XU"
2194,"P050227",279982,"Alkoxylated aromatic amine (PROVISIONAL)","P; XU"
2195,"P050236",248625,"Aromatic-modified aliphatic hydrocarbon resin (PROVISIONAL)","P; XU"
2196,"P050237",257273,"HDI/polycarbonate/polycaprolactone prepolymer (PROVISIONAL)","P; XU"
2197,"P050238",235382,"1,4-Butanediol, polymer with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl) and aliphatic diisocyanate","P; XU"
2198,"P050241",256087,"Glucomannan (PROVISIONAL)","P; XU"
2199,"P050245",255937,"Alkyl acrylic, methacrylic, vinylic copolymer (PROVISIONAL)","P; XU"
2200,"P050247",230161,"3-Phenylimino-6-oxo-1,4-cyclohexadiene derivative (PROVISIONAL)","P"
2201,"P050248",253464,"5-Amino-4-nitrophenylazo-1-phenylpyrazole derivative (PROVISIONAL)","P"
2202,"P050250",252303,"Allyl compounds, copolymers with unsaturated acids (PROVISIONAL)","P; XU"
2203,"P050251",232521,"Hydroxy aromatics, polymer with fluorinated aromatics (PROVISIONAL)","P; XU"
2204,"P050260",231879,"Aminoalkoxypolysiloxane (PROVISIONAL)","P; XU"
2205,"P050261",245024,"Phenol-substituted amide (PROVISIONAL)","P"
2206,"P050264",269819,"Amine functional epoxy resin salted with organic acid (PROVISIONAL)","P; XU"
2207,"P050273",239748,"Alkanolactone, polymer with substituted 2H-pyran-2-one, 2-(2-butoxyethoxy)ethyl ester, phosphate (PROVISIONAL)","P; XU"
2208,"P050275",271557,"Di(alkyl phenyl) iodonium hexafluoroantimonate (PROVISIONAL)","P"
2209,"P050279",275366,"Polyurethane polymer (PROVISIONAL)","P; XU"
2210,"P050284",258492,"Styrene acrylate copolymer (PROVISIONAL)","P; XU"
2211,"P050288",248329,"Tall oil modified aromatic acrylic polymer (PROVISIONAL)","P; XU"
2212,"P050289",252869,"Tall oil modified aromatic acrylic polymer, ammonium salt (PROVISIONAL)","P; XU"
2213,"P050290",247713,"Alkanedioic acid, polymer with 1,3,5-tris(substituted alkyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione, alkanoate(ester) 3-substituted-2-(substituted alkyl)-2-alkanoate (ester) (PROVISIONAL)","P; XU"
2214,"P050299",276767,"Modified acrylonitrile-butadiene polymer (PROVISIONAL)","P; XU"
2215,"P050300",242707,"Niobium organic compound (PROVISIONAL)","P"
2216,"P050303",274250,"Alkanoic acid, 3-hydroxy-2-(hydroxyalkyl)-2-alkyl-, ion(1-), salts with bisphenol A-bisphenol A-epichlorohydrin polymer 2-alkyl-1-alkanol-1-[(2-hydroxyalkyl)thio]-2-alkanol-TDI reaction products (PROVISIONAL)","P; XU"
2217,"P050306",274896,"Mixed fatty acids and diacids polymer with polyol (PROVISIONAL)","P; XU"
2218,"P050317",231335,"Mono-methyl maleate/acrylic acid/hydroxypropyl methacrylate copolymer ammonium salt (PROVISIONAL)","P; XU"
2219,"P050321",247202,"Mono-methyl maleate/acrylic acid/hydroxypropyl methacrylate copolymer (PROVISIONAL)","P; XU"
2220,"P050327",245171,"Amine salt of styrene acrylic polymer (PROVISIONAL)","P; XU"
2221,"P050327",221682,"Amine salt of styrene acrylate polymer (PROVISIONAL)","P; XU"
2222,"P050329",260312,"Halogenated phenoxy aromatic (PROVISIONAL)","P; S"
2223,"P050330",259586,"Carboxylic acid and ketone-functional polyurethane polymer, 2-dimethylaminoethyl salt (PROVISIONAL)","P; XU"
2224,"P050340",268214,"Blocked polyurethane (PROVISIONAL)","P; XU"
2225,"P050341",258414,"Blocked polyurethane (PROVISIONAL)","P; XU"
2226,"P050344",239384,"Polyether glycol (PROVISIONAL)","P; XU"
2227,"P050346",275731,"Polymer of alkyl diols with aryl and alkyl diacids, aryl anhydridesand esters of aryl diacids (PROVISIONAL)","P; XU"
